플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십,밴드위치
SOOP,엊우진,18.2,278,182.1,3314.7,상위(149-296)
SOOP,빵지니♥,11.6,265,176.4,2046.7,상위(149-296)
SOOP,#민찬기,23.2,240,89.4,2074.6,상위(149-296)
SOOP,해강고원딜,45.5,239,81.4,3702.4,상위(149-296)
SOOP,임유진,9.7,237,151.8,1472.8,상위(149-296)
SOOP,바밤바*,23.2,235,122.3,2837.2,상위(149-296)
SOOP,해리,1.4,232,216.1,302.6,상위(149-296)
SOOP,주보리♥,4.1,228,198.7,814.8,상위(149-296)
SOOP,쥐돌이쥐돌이,2.4,213,163.4,392.1,상위(149-296)
SOOP,꼼모리,3.2,206,176.5,564.8,상위(149-296)
SOOP,최애리,1.4,203,191.9,268.6,상위(149-296)
SOOP,또해영♥,5.3,203,183.3,971.6,상위(149-296)
SOOP,수주♥,39.3,199,95.7,3760.0,상위(149-296)
SOOP,종탁이,46.2,194,48.4,2235.0,상위(149-296)
SOOP,PerfecT5,1.1,183,165.7,182.3,상위(149-296)
SOOP,크포야,34.1,178,89.8,3063.0,상위(149-296)
SOOP,♨침착맨,16.6,174,82.6,1371.9,상위(149-296)
SOOP,피유:p,34.8,171,63.9,2224.5,상위(149-296)
SOOP,병현.,20.7,170,107.9,2232.5,상위(149-296)
SOOP,만기퇴소,18.8,163,61.9,1164.1,상위(149-296)
SOOP,LCS_GLOBAL,8.4,158,67.2,564.9,상위(149-296)
SOOP,라로시_,1.9,156,129.9,246.8,상위(149-296)
SOOP,CBLOL_GLOBAL,4.8,148,90.4,434.0,하위(74-148)
SOOP,하블리♬,1.6,145,103.1,164.9,하위(74-148)
SOOP,쪼이.,5.7,140,104.9,597.7,하위(74-148)
SOOP,뿌리.,27.1,135,44.1,1196.1,하위(74-148)
SOOP,김하선,5.6,135,84.0,470.2,하위(74-148)
SOOP,롱다리코치,5.0,132,15.3,76.7,하위(74-148)
SOOP,임밍지,11.1,129,54.4,604.3,하위(74-148)
SOOP,정와,1.9,127,104.7,199.0,하위(74-148)
SOOP,호시야04,31.7,123,72.6,2301.0,하위(74-148)
SOOP,♡소유나♡,4.6,123,95.6,439.6,하위(74-148)
SOOP,odd+,0.8,123,64.9,51.9,하위(74-148)
SOOP,묵아,2.8,121,108.0,302.5,하위(74-148)
SOOP,김레인♥,14.4,117,71.1,1023.9,하위(74-148)
SOOP,햅번,21.9,111,61.6,1348.6,하위(74-148)
SOOP,눈길.,39.6,111,25.8,1021.8,하위(74-148)
SOOP,루첼,1.7,108,94.6,160.8,하위(74-148)
SOOP,나예리._.,3.5,108,75.1,262.7,하위(74-148)
SOOP,우태,1.2,99,43.2,51.9,하위(74-148)
SOOP,Patiizz,1.5,98,85.3,127.9,하위(74-148)
SOOP,항심,29.1,97,43.0,1251.4,하위(74-148)
SOOP,종학zz,35.0,95,25.6,895.9,하위(74-148)
SOOP,LCP,4.0,94,49.4,197.6,하위(74-148)
SOOP,이하름,36.5,90,42.5,1550.2,하위(74-148)
SOOP,BJ금똥왁왁,47.3,90,40.5,1916.5,하위(74-148)
SOOP,한아밍,55.7,88,37.2,2074.2,하위(74-148)
SOOP,권지인입니다,23.0,88,29.8,686.0,하위(74-148)
SOOP,BJ소프트,26.8,88,36.4,975.0,하위(74-148)
SOOP,치비12,6.4,87,77.1,493.3,하위(74-148)
SOOP,닌닌_,1.5,85,80.3,120.5,하위(74-148)
SOOP,트할_,2.4,84,61.0,146.4,하위(74-148)
SOOP,다쁘,39.2,84,30.4,1191.5,하위(74-148)
SOOP,미쓰리,83.8,83,53.3,4467.6,하위(74-148)
SOOP,하이브리드99,4.3,82,42.7,183.6,하위(74-148)
SOOP,이차식,28.0,82,34.0,951.7,하위(74-148)
SOOP,셀키_,4.5,82,51.2,230.6,하위(74-148)
SOOP,히요코,1.0,81,68.0,68.0,하위(74-148)
SOOP,태윤02,16.1,81,31.5,507.2,하위(74-148)
SOOP,코뇨,8.4,80,65.1,546.5,하위(74-148)
SOOP,하이요,17.4,78,55.9,972.3,하위(74-148)
SOOP,야옹민지,31.0,76,28.1,870.5,하위(74-148)
SOOP,세체뽀,13.4,76,34.2,458.7,하위(74-148)
SOOP,백사라,10.9,76,59.1,644.0,하위(74-148)
SOOP,손민석,56.1,75,18.8,1053.8,하위(74-148)
SOOP,나옹이빵,14.9,75,39.9,593.8,하위(74-148)
SOOP,BJ스간,9.1,75,39.6,360.3,하위(74-148)
